Easting	Northing	Bay	LOI
1236203	6551013	Apelvik	6.3
1232196	6544347	Hörskär	5.9
1233831	6541141	Jolkilen	10.1
1233874	6539768	Tångeflo	5.5
1233013	6534852	Killingholm	17.3
1234342	6533671	Flatskären	16.7
1236150	6532763	Galtön	13
1234173	6530063	Bruksholm	3
1234982	6526057	Tannamskilen	17.2
1234281	6523099	Lammön	15
1236293	6521300	Sannäsfjorden	8.1
1235577	6515886	Svinnäs	1.2
1237082	6507444	Munkholm	4.3
1238252	6504645	Tångeskären	1
1238690	6490916	Vikefjorden	8.3
1246019	6489425	Uleberget	6.2
1236155	6487473	Lökholmen	4.4
1245857	6482852	Brevik	1.1
1259696	6475845	NordTången	2.6
1245798	6473868	Trälebergskilen	1.4
1246823	6467879	Lindholmen	3.7
1246631	6464930	Vällarna	3.4
1243460	6461950	Rågårdsvik	14.1
1241644	6455584	Stockesund	6.9
1256654	6447282	Apelgårdskilen	6
1257175	6445060	Sundbykilen	7.7
