X	Y	Temperatur
39477	27543	11.07
39425	27588	11.02
39332	27678	10.85
39260	27830	11.05
39405	27874	11.54
39521	27902	11.44
39554	27809	11.43
39640	27819	11.51
39716	27899	10.87
39747	27977	10.61
39772	28097	10.74
39696	28087	10.93
39585	28055	11.37
39501	28147	11.58
39482	28214	11.69
39446	28336	11.69
39403	28501	11.67
39480	28569	11.49
39559	28580	11.37
39642	28437	11.53
39697	28293	11.36
39598	28253	11.48
39474	28212	11.57
39372	28208	11.65
39331	28327	11.92
39215	28324	11.94
39097	28288	11.93
39025	28159	11.98
39158	28119	12.08
39105	28047	12.07
39059	27994	12.09
39079	27829	12.17
39095	27695	12.12
39055	27536	11.95
38918	27556	11.95
38785	27589	11.93
38747	27552	11.71
38775	27482	11.81
38661	27468	11.76
38547	27485	12.01
38565	27614	12.08
38608	27745	12.13
38713	27881	12.38
38937	28021	12.34
39031	28250	12.28
39094	28378	12.13
39202	28510	11.74
39317	28618	11.55
39408	28664	11.55
39801	28369	11.67
39946	28365	11.37
39935	27886	11.20
39871	27871	11.17
39781	27756	11.00
39724	27709	11.07
39600	27607	11.33
39470	27541	11.55
